module_code	label	active_assignment_count	active_local_pdf_count	active_missing_local_pdf_count	active_local_pdf_coverage_rate	active_note_count	active_missing_note_count	active_source_limited_count
04	Materials Science	117	110	7	94.02	117	0	11
03	Chemical Sciences	90	83	7	92.22	90	0	4
06	Life Sciences	78	74	4	94.87	78	0	18
05	Earth and Environmental Sciences	37	33	4	89.19	37	0	6
07	Medical and Health Sciences	78	76	2	97.44	78	0	11
10	Aerospace, Marine and Transportation Sciences	25	23	2	92.0	25	0	1
11	Social, Behavioral, Economic and Knowledge System Sciences	39	38	1	97.44	39	0	6
02	Physics, Astronomy and Cosmic Sciences	41	41	0	100.0	41	0	0
09	Engineering and Industrial Technology Sciences	40	40	0	100.0	40	0	2
01	Formal, Information and Computational Sciences	26	26	0	100.0	26	0	0
08	Agricultural, Food, Forestry, Animal and Fishery Sciences	4	4	0	100.0	4	0	0
