paper_id	note_path	final_modules_or_bucket	object_coverage_mode	primary_module_for_filing	general_method_bucket	source_limited	writeback_sections	landing_reason
ASD-0553	Notes/01_Formal_Information_and_Computational_Sciences/Ma_2026_ToolsGenie_2_Bioinformatics_Automation.md	01.04	general_method_without_concrete_object_experiments	01	01.04_general_asd_methods_without_concrete_object_experiments	yes	论文信息;Evidence Log;5.3 科学贡献;9.3 标注字段汇总	authoritative 01.04 state is stable, but note still says no local PDF despite current archived-PDF truth
ASD-0006	Notes/01_Formal_Information_and_Computational_Sciences/Naumov_2025_DORA_AI_Scientist.md	01.04	general_method_without_concrete_object_experiments	01	01.04_general_asd_methods_without_concrete_object_experiments	no	Evidence Log;0 摘要翻译;2 科学领域归类;5.3 科学贡献;8 对综述写作的价值;9.3 标注字段汇总	top-level archive-sync is current, but body still carries stale abstract-only / full-text-follow-up pressure
ASD-0004	Notes/01_Formal_Information_and_Computational_Sciences/InternAgentTeam_2025_InternAgent.md	01;03;06;09;10	multi_module	01	none	no	2 科学领域归类;5.3 科学贡献;9.3 标注字段汇总	relaxed multi-module overlay is stable, but the note tail still preserves old 01.04-only wording
ASD-0059	Notes/01_Formal_Information_and_Computational_Sciences/Rabby_2025_MC_NEST.md	01.04	general_method_without_concrete_object_experiments	01	01.04_general_asd_methods_without_concrete_object_experiments	no	论文信息;Evidence Log;9.3 标注字段汇总	note PDF registration wording is inconsistent with current archived-PDF authoritative state
ASD-0062	Notes/01_Formal_Information_and_Computational_Sciences/Pauloski_2026_Federated_Agents.md	01;02;04	multi_module	01	none	no	Evidence Log;2 科学领域归类;6 与已有工作的关系;9.3 标注字段汇总	top-level override is current, but body text still argues 01.04 and needs harmonization
ASD-0069	Notes/01_Formal_Information_and_Computational_Sciences/Lu_2024_AI_Scientist.md	01;11	multi_module	01	none	no	2 科学领域归类;6 与已有工作的关系;9.3 标注字段汇总	top-level override is current, but lower sections still read as 01.04-only
ASD-0523	Notes/01_Formal_Information_and_Computational_Sciences/Lu_2026_End_to_End_AI_Research.md	01;11	multi_module	01	none	no	论文信息;Evidence Log;7 局限性与风险;9.3 标注字段汇总	classification is aligned, but note still says no local PDF / non-archived source wording
ASD-0530	Notes/01_Formal_Information_and_Computational_Sciences/Yue_2025_Hierarchical_AI_Scientist_Systems.md	01.04	general_method_without_concrete_object_experiments	01	01.04_general_asd_methods_without_concrete_object_experiments	no	论文信息;2 科学领域归类;2.3 容易混淆的边界;9.3 标注字段汇总	independent 01.04 state is stable, but filing and PDF wording are stale
ASD-0662	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_Mimosa_Framework.md	03;05;06;11	multi_module	01	none	no	论文信息;Evidence Log;source note	multi-module classification is aligned, but note still says no local archived PDF
ASD-0671	Notes/01_Formal_Information_and_Computational_Sciences/Liu_2026_AutoResearchClaw.md	01;02;06	multi_module	01	none	no	论文信息;Evidence Log;9.3 标注字段汇总	classification is aligned, but note still says no local archived PDF
ASD-0676	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_AutoSci.md	01;06;07	multi_module	01	none	no	论文信息;Evidence Log;7 局限性与风险;9.3 标注字段汇总	classification is aligned, but note still says only HTML full text / no local archived PDF
ASD-0056	Notes/03_Chemical_Sciences/StriethKalthoff_2024_Organic_Laser_Emitters.md	03;04	multi_module	03	none	no	2026-06-21 boundary closure 段;论文信息;后续精读任务段	03;04 classification is stable, but note still claims no local archived PDF
ASD-0519	Notes/03_Chemical_Sciences/Lin_2025_High_Throughput_Electrochemistry_Discovery.md	03;04	multi_module	03	none	no	论文信息;Evidence Log;PDF/source status lines;9.3 标注字段汇总	classification is aligned, but note still says no local PDF
ASD-0664	Notes/03_Chemical_Sciences/Unknown_2026_Autonomous_Computational_Catalysis.md	03;04	multi_module	03	none	no	论文信息;Evidence Log;PDF/source status lines	multi-module classification is aligned, but archived-PDF wording is stale
ASD-0787	Notes/01_Formal_Information_and_Computational_Sciences/Ding_2025_SciToolAgent.md	03;04;06	multi_module	03	none	no	论文信息;Evidence Log;0 摘要翻译;2 科学领域归类;6 与已有工作的关系;8 对综述写作的价值;9.3 标注字段汇总	top-level closure is current, but the body still repeatedly argues 01/01.04 and no-local-PDF
ASD-0060	Notes/01_Formal_Information_and_Computational_Sciences/Pu_2026_PiFlow.md	03;04;07	multi_module	04	none	no	论文信息;Evidence Log;2 科学领域归类;6 与已有工作的关系;8 对综述写作的价值;9.3 标注字段汇总	top-level archive-sync is current, but the body still treats 01.04 as final and says no saved PDF
ASD-0516	Notes/04_Materials_Science/Zheng_2025_Self_Driving_PVD_System.md	04;09	multi_module	04	none	no	论文信息;Evidence Log;PDF/source status lines;9.3 标注字段汇总	classification is aligned, but note still says no newly archived local PDF / no archive-path backfill
ASD-0525	Notes/01_Formal_Information_and_Computational_Sciences/Sun_2026_TeLLAgent.md	03;04	multi_module	04	none	no	论文信息;Evidence Log;PDF/source status lines	03;04 override is correct, but the note still claims no local archived PDF
