paper_id	final_agent_inclusion	supported_modules	final_01_04_bucket	primary_module_for_filing	boundary_type	confidence	source_limited	safety_access_status	note_revision_required	master_update_required	final_reason
ASD-0152	yes	06;07	none	06	stale_pending_status_metadata	high	no	ok	yes	no	The stable 06;07 classification is already stated, but top metadata and 9.3 still present the note as to_read.
ASD-0276	yes	06;07	none	06	stale_pending_status_metadata	high	no	ok	yes	no	The note body already lands 06;07, but the top status block still says to_read / confirmed core.
ASD-0599	yes	06	none	06	stale_pending_status_source_limited_sync	high	yes	ok	yes	no	The frozen 06 / source_limited=yes reading is stable, but the note still reads like an unresolved pending record.
ASD-0617	yes	06	none	06	stale_pending_status_source_limited_sync	high	yes	ok	yes	no	The stable 06 / source_limited=yes closure is already written, but top metadata still keeps the note in pending mode.
ASD-0660	yes	03;04;06;07	none	06	note_aligned_low_risk	high	no	ok	no	no	The note already presents the landed multi-module anchor and no stale pending wording remains.
ASD-0724	yes	06	none	06	note_aligned_low_risk	high	yes	ok	no	no	The note already states included / landed status together with the current source_limited=yes closure.
ASD-0731	yes	03;06;07	none	06	stale_pending_status_metadata	high	no	ok	yes	no	The 03;06;07 anchor is already defended in the body, but top metadata and 9.3 still say to_read.
ASD-0741	yes	06	none	06	stale_pending_status_source_limited_sync	high	yes	ok	yes	no	The stable 06 / source_limited=yes note body exists, but top metadata and 9.3 still present a pending state.
ASD-0742	yes	06;07	none	06	stale_pending_status_metadata	high	no	ok	yes	no	The note already lands 06;07, but top metadata and 9.3 still read to_read.
ASD-0743	yes	06;07	none	06	stale_pdf_backed_source_state_conflict	high	no	ok	yes	no	The current authoritative state is PDF-backed 06;07, but older source_limited=yes and no-PDF wording still survives below the frozen block.
ASD-0744	yes	06;07	none	06	stale_single_module_and_source_state_conflict	high	no	ok	yes	no	The current authoritative state is 06;07 with source_limited=no, but an older 06-only / source_limited=yes closure still dominates the note.
ASD-0745	yes	06;07	none	06	stale_pdf_backed_source_state_conflict	high	no	ok	yes	no	The current authoritative state is PDF-backed 06;07, but the older abstract-only source_limited=yes closure still remains in the note.
ASD-0770	yes	06;07	none	06	stale_single_module_and_source_state_conflict	high	no	ok	yes	no	The top block lands 06;07, but older 06-only / source_limited wording still survives below it.
ASD-0030	yes	03;07	none	07	note_aligned_low_risk	high	no	ok	no	no	The note already reads as included and aligned to the stable 03;07 anchor.
ASD-0113	yes	07;03	none	07	stale_pending_status_metadata	high	no	ok	yes	no	The note already carries the 07;03 adjudication, but top metadata still says to_read pending sync.
ASD-0254	yes	06;07	none	07	stale_pending_status_and_legacy_0104_residue	high	no	ok	yes	no	The body already retires 01.04 and lands 06;07, but top metadata still reads as a pending confirmed-core record.
ASD-0531	yes	06;07	none	07	stale_pdf_backed_source_state_conflict	high	no	ok	yes	no	The current authoritative state is local-PDF-backed 06;07, but older source_limited / no-local-PDF wording and to_read metadata remain.
ASD-0537	yes	06;07	none	07	note_aligned_low_risk	high	no	ok	no	no	The note already states that it is read, included, and full-text-backed under the stable 06;07 anchor.
ASD-0543	yes	06;07	none	07	stale_pdf_backed_source_state_conflict	high	no	ok	yes	no	The frozen top block is no longer source-limited, but older safety-supported / source_limited=yes wording still dominates lower sections.
ASD-0545	yes	06;07	none	07	stale_pdf_backed_source_state_conflict	high	no	ok	yes	no	The frozen top block is PDF-backed and no longer source-limited, but the note still foregrounds the older abstract-only safety-supported closure.
ASD-0548	yes	06;07	none	07	stale_pending_status_metadata	high	no	ok	yes	no	The stable 06;07 wording is present, but top metadata still reads to_read.
ASD-0554	yes	06;07	none	07	stale_pending_status_legacy_0104_and_source_state_conflict	high	no	ok	yes	no	The note already retires 01.04 below, but top metadata still says to_read and older source_limited=yes wording survives.
ASD-0679	yes	03;07	none	07	stale_pending_status_metadata	high	no	ok	yes	no	The note already states stable 03;07 drug-discovery coverage, but top metadata still reads to_read.
ASD-0715	yes	06;07	none	07	stale_pending_status_metadata	high	no	ok	yes	no	The current 06;07 reading is already present, but top metadata and 9.3 still say to_read.
ASD-0817	yes	03;07	none	07	stale_pending_status_metadata	high	no	ok	yes	no	The frozen 03;07 note is stable, but top metadata still reads to_read.
ASD-0820	yes	03;07	none	07	stale_pending_status_metadata	high	no	ok	yes	no	The note already explains the 03;07 anchor with filing=07, but top metadata still stays at to_read.
ASD-0822	yes	06;07	none	07	stale_pending_status_metadata	high	no	ok	yes	no	The note already states the frozen 06;07 anchor with local PDF, but top metadata still reads to_read.
ASD-0826	yes	03;07	none	07	stale_pending_status_metadata	high	no	ok	yes	no	The note is already aligned to 03;07, but top metadata still says to_read.
ASD-0866	yes	03;04;06;07;09	none	07	stale_pending_status_metadata	high	no	ok	yes	no	The note already presents the five-module anchor, but top metadata still reads to_read.
ASD-0782	yes	02;09	none	09	stale_pending_status_and_conservative_hold_drift	high	no	ok	yes	no	The note already lands 02;09 and retires conservative-hold reasoning, but top metadata still reads to_read.
