module_code	module_rank	paper_id	title	note_path	year	source	citation_priority	evidence_status	pdf_exists	source_limited	object_coverage_mode	primary_module_for_filing	representative_score	recommended_section_role	coverage_risk_note	drafting_readiness	slice	assigned_agent	slice_rank
01	1	ASD-0013	The ai scientist-v2: Workshop-level automated scientific discovery via agentic tree search	Notes/01_Formal_Information_and_Computational_Sciences/Yamada_2025_AI_Scientist_V2.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	01	72	anchor	low	ready_low_risk	A	Evidence-Agent-A	1
01	2	ASD-0018	Agent laboratory: Using llm agents as research assistants	Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_Agent_Laboratory.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	01	72	anchor	low	ready_low_risk	A	Evidence-Agent-A	2
01	3	ASD-0019	Agentrxiv: Towards collaborative autonomous research	Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_AgentRxiv.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	01	72	exemplar	low	ready_low_risk	A	Evidence-Agent-A	3
01	4	ASD-0032	Codescientist: End-to-end semi-automated scientific discovery with code-based experimentation	Notes/01_Formal_Information_and_Computational_Sciences/Jansen_2025_CodeScientist.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	01	72	exemplar	low	ready_low_risk	A	Evidence-Agent-A	4
01	5	ASD-0048	Dolphin: Closed-loop open-ended auto-research through thinking, practice, and feedback	Notes/01_Formal_Information_and_Computational_Sciences/Yuan_2025_Dolphin.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	01	72	exemplar	low	ready_low_risk	A	Evidence-Agent-A	5
02	1	ASD-0058	Astroagents: A multi-agent ai for hypothesis generation from mass spectrometry data	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Saeedi_2025_AstroAgents.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	02	72	anchor	low	ready_low_risk	A	Evidence-Agent-A	6
02	2	ASD-0090	Agents for self-driving laboratories applied to quantum computing	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Cao_2025_K_Agents_Quantum.md	2024	arXiv	core	first_hand_full_text	yes	no	single_module	02	72	anchor	stale_source_state	ready_with_note_drift	A	Evidence-Agent-A	7
02	3	ASD-0687	Agentic AI for Multi-Stage Physics Experiments at a Large-Scale User Facility Particle Accelerator	Notes/02_Physics_Astronomy_and_Cosmic_Sciences/Hellert_2025_Agentic_AI_Particle_Accelerator.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	02	72	exemplar	stale_to_read	ready_with_note_drift	A	Evidence-Agent-A	8
02	4	ASD-0062	Empowering scientific workflows with federated agents	Notes/01_Formal_Information_and_Computational_Sciences/Pauloski_2026_Federated_Agents.md	2025	arXiv	core	first_hand_full_text	yes	no	multi_module	01	66	boundary	cross_module	ready_low_risk	A	Evidence-Agent-A	9
02	5	ASD-0151	Self-driving lab discovers principles for steering spontaneous emission beyond conventional Fourier optics	Notes/04_Materials_Science/Desai_2026_Spontaneous_Emission_SDL.md	2026	Nature Communications	core	first_hand_full_text	yes	no	multi_module	04	66	boundary	cross_module	ready_low_risk	A	Evidence-Agent-A	10
03	1	ASD-0010	El Agente: An Autonomous Agent for Quantum Chemistry	Notes/03_Chemical_Sciences/Zou_2025_El_Agente_Q.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	03	72	anchor	low	ready_low_risk	B	Evidence-Agent-B	1
03	2	ASD-0012	Large language models for chemistry robotics	Notes/03_Chemical_Sciences/Yoshikawa_2023_Chemistry_Robotics_LLMs.md	2023	Unknown	core	first_hand_html_full_text	yes	no	single_module	03	72	anchor	low	ready_low_risk	B	Evidence-Agent-B	2
03	3	ASD-0022	Chemgraph: An agentic framework for computational chemistry workflows	Notes/03_Chemical_Sciences/Pham_2025_ChemGraph.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	03	72	exemplar	low	ready_low_risk	B	Evidence-Agent-B	3
03	4	ASD-0036	Organa: A robotic assistant for automated chemistry experimentation and characterization	Notes/03_Chemical_Sciences/Darvish_2024_Organa.md	2024	arXiv	core	first_hand_full_text	yes	no	single_module	03	72	exemplar	low	ready_low_risk	B	Evidence-Agent-B	4
03	5	ASD-0037	Autonomous mobile robots for exploratory synthetic chemistry	Notes/03_Chemical_Sciences/Dai_2024_Autonomous_Mobile_Robots.md	2024	Nature	core	first_hand_html_full_text	yes	no	single_module	03	72	exemplar	low	ready_low_risk	B	Evidence-Agent-B	5
04	1	ASD-0001	Toward Greater Autonomy in Materials Discovery Agents: Unifying Planning, Physics, and Scientists	Notes/04_Materials_Science/Zhou_2025_MAPPS.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	04	72	anchor	low	ready_low_risk	B	Evidence-Agent-B	6
04	2	ASD-0009	Agent-based learning of materials datasets from the scientific literature	Notes/04_Materials_Science/Ansari_2024_Eunomia_Materials_Datasets.md	2024	Digital Discovery	core	first_hand_full_text	yes	no	single_module	04	72	anchor	low	ready_low_risk	B	Evidence-Agent-B	7
04	3	ASD-0016	An autonomous laboratory for the accelerated synthesis of novel materials	Notes/04_Materials_Science/Szymanski_2023_A_Lab.md	2023	Nature	core	first_hand_full_text	yes	no	single_module	04	72	exemplar	low	ready_low_risk	B	Evidence-Agent-B	8
04	4	ASD-0031	Llmatdesign: Autonomous materials discovery with large language models	Notes/04_Materials_Science/Jia_2024_LLMatDesign.md	2024	arXiv	core	first_hand_full_text	yes	no	single_module	04	72	exemplar	low	ready_low_risk	B	Evidence-Agent-B	9
04	5	ASD-0046	Topomas: Large language model driven topological materials multiagent system	Notes/04_Materials_Science/Zhang_2025_TopoMAS.md	2025	arXiv	core	first_hand_full_text	yes	no	single_module	04	72	exemplar	low	ready_low_risk	B	Evidence-Agent-B	10
05	1	ASD-0653	Earth-Agent: Unlocking the Full Landscape of Earth Observation with Agents	Notes/05_Earth_and_Environmental_Sciences/Feng_2025_Earth_Agent.md	2025	arXiv / ICLR 2026 conference paper	core	first_hand_full_text	yes	no	single_module	05	72	anchor	stale_to_read	ready_with_note_drift	C	Evidence-Agent-C	1
05	2	ASD-0662	Mimosa Framework: Toward Evolving Multi-Agent Systems for Scientific Research	Notes/01_Formal_Information_and_Computational_Sciences/Unknown_2026_Mimosa_Framework.md	2026	arXiv	core	first_hand_full_text	yes	no	multi_module	01	66	anchor	cross_module;stale_to_read	ready_with_note_drift	C	Evidence-Agent-C	2
05	3	ASD-0691	OASIS: Onboard Autonomous Science Investigation System for Opportunistic Rover Science	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Castano_2007_OASIS_Rover_Science.md	2007	Journal of Field Robotics	core	first_hand_full_text	yes	no	multi_module	10	66	boundary	cross_module;stale_to_read	ready_with_note_drift	C	Evidence-Agent-C	3
05	4	ASD-0693	Enabling Onboard Detection of Events of Scientific Interest for the Europa Clipper Spacecraft	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Wagstaff_2019_Europa_Clipper_Onboard_Detection.md	2019	KDD '19	core	first_hand_full_text	yes	no	multi_module	10	66	boundary	cross_module;stale_to_read	ready_with_note_drift	C	Evidence-Agent-C	4
05	5	ASD-0696	AEGIS Automated Science Targeting for the MER Opportunity Rover	Notes/10_Aerospace_Marine_and_Transportation_Sciences/Estlin_2012_AEGIS_Opportunity_Rover.md	2012	ACM Transactions on Intelligent Systems and Technology	core	first_hand_full_text	yes	no	multi_module	10	66	boundary	cross_module;stale_to_read	ready_with_note_drift	C	Evidence-Agent-C	5
06	1	ASD-0014	Spatialagent: An autonomous ai agent for spatial biology	Notes/06_Life_Sciences/Wang_2025_SpatialAgent.md	2025	bioRxiv	core	first_hand_full_text	yes	no	single_module	06	72	anchor	low	ready_low_risk	C	Evidence-Agent-C	6
06	2	ASD-0020	Biodiscoveryagent: An ai agent for designing genetic perturbation experiments	Notes/06_Life_Sciences/Roohani_2024_BioDiscoveryAgent.md	2024	arXiv	core	first_hand_full_text	yes	no	single_module	06	72	anchor	low	ready_low_risk	C	Evidence-Agent-C	7
06	3	ASD-0033	Omnicellagent: Towards ai co-scientists for scientific discovery in precision medicine	Notes/06_Life_Sciences/Huang_2025_OmniCellAgent.md	2025	Unknown	core	first_hand_html_full_text	yes	no	single_module	06	72	exemplar	low	ready_low_risk	C	Evidence-Agent-C	8
06	4	ASD-0051	Geneagent: Self-verification language agent for gene set knowledge discovery using domain databases	Notes/06_Life_Sciences/Wang_2024_GeneAgent.md	2024	arXiv	core	first_hand_full_text	yes	no	single_module	06	72	exemplar	low	ready_low_risk	C	Evidence-Agent-C	9
06	5	ASD-0055	Biomaster: Multi-agent system for automated bioinformatics analysis workflow	Notes/06_Life_Sciences/Su_2025_BioMaster.md	2025	bioRxiv	core	first_hand_full_text	yes	no	single_module	06	72	exemplar	low	ready_low_risk	C	Evidence-Agent-C	10
