module_code,module_label,paper_count
01,"Formal, Information and Computational Sciences",26
02,"Physics, Astronomy and Cosmic Sciences",41
03,Chemical Sciences,90
04,Materials Science,117
05,Earth and Environmental Sciences,37
06,Life Sciences,78
07,Medical and Health Sciences,80
08,"Agricultural, Food, Forestry, Animal and Fishery Sciences",4
09,Engineering and Industrial Technology Sciences,40
10,"Aerospace, Marine and Transportation Sciences",25
11,"Social, Behavioral, Economic and Knowledge Systems Sciences",39
