year,arXiv-Linked Preprints,Other Preprint Servers,Nature Portfolio,Science Family,Cell Press,ACS and Chemistry Journals,Materials and Advanced Science Journals,AI/ML Conferences and Workshops,"IEEE, Robotics, and Aerospace Venues",Other Journals and Venues
2004,0,0,1,0,0,0,0,1,0,0
2005,0,0,0,0,0,0,0,0,2,0
2006,0,0,0,0,0,0,3,1,2,0
2007,0,0,0,0,0,0,0,0,3,0
2008,0,0,0,0,0,0,0,0,1,0
2009,0,0,0,0,0,0,0,0,1,0
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,1,0
2013,0,0,0,0,0,0,0,0,1,0
2014,0,0,1,0,0,1,0,0,1,0
2015,0,0,0,0,0,0,0,1,0,0
2016,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,1,0,0,0,0,0,0
2018,0,0,1,1,0,0,0,0,1,0
2019,0,0,1,2,0,0,1,1,0,0
2020,0,0,3,4,1,1,3,0,0,0
2021,0,0,1,1,1,3,1,0,0,0
2022,0,0,3,0,0,4,2,0,0,0
2023,4,0,6,3,0,0,1,0,0,1
2024,27,4,14,2,0,3,2,3,4,1
2025,84,16,21,5,3,5,2,9,2,7
2026,119,10,16,2,1,6,2,0,0,4
